ADAL,1,Interneuron,,
ADAR,2,Interneuron,,
ADEL,3,Sensory,,
ADER,4,Sensory,,
ADFL,5,Sensory,,
ADFR,6,Sensory,,
ADLL,7,Sensory,,
ADLR,8,Sensory,,
AFDL,9,Sensory,,
AFDR,10,Sensory,,
AIAL,11,Interneuron,,
AIAR,12,Interneuron,,
AIBL,13,Interneuron,,
AIBR,14,Interneuron,,
AIML,15,Interneuron,,
AIMR,16,Interneuron,,
AINL,17,Interneuron,,
AINR,18,Interneuron,,
AIYL,19,Interneuron,,
AIYR,20,Interneuron,,
AIZL,21,Interneuron,,
AIZR,22,Interneuron,,
ALA,23,Interneuron,,
ALML,24,Sensory,,
ALMR,25,Sensory,,
ALNL,26,Sensory,,
ALNR,27,Sensory,,
AQR,28,Sensory,,
AS1,29,Motor,,
AS2,30,Motor,,
AS3,31,Motor,,
AS4,32,Motor,,
AS5,33,Motor,,
AS6,34,Motor,,
AS7,35,Motor,,
AS8,36,Motor,,
AS9,37,Motor,,
AS10,38,Motor,,
AS11,39,Motor,,
ASEL,40,Sensory,,
ASER,41,Sensory,,
ASGL,42,Sensory,,
ASGR,43,Sensory,,
ASHL,44,Sensory,,
ASHR,45,Sensory,,
ASIL,46,Sensory,,
ASIR,47,Sensory,,
ASJL,48,Sensory,,
ASJR,49,Sensory,,
ASKL,50,Sensory,,
ASKR,51,Sensory,,
AUAL,52,Interneuron,,
AUAR,53,Interneuron,,
AVAL,54,Interneuron,,
AVAR,55,Interneuron,,
AVBL,56,Interneuron,,
AVBR,57,Interneuron,,
AVDL,58,Interneuron,,
AVDR,59,Interneuron,,
AVEL,60,Interneuron,,
AVER,61,Interneuron,,
AVFL,62,Interneuron,,
AVFR,63,Interneuron,,
AVG,64,Interneuron,,
AVHL,65,Interneuron,,
AVHR,66,Interneuron,,
AVJL,67,Interneuron,,
AVJR,68,Interneuron,,
AVKL,69,Interneuron,,
AVKR,70,Interneuron,,
AVL,71,Motor/Interneuron,,
AVM,72,Sensory,,
AWAL,73,Sensory,,
AWAR,74,Sensory,,
AWBL,75,Sensory,,
AWBR,76,Sensory,,
AWCL,77,Sensory,,
AWCR,78,Sensory,,
BAGL,79,Sensory,,
BAGR,80,Sensory,,
BDUL,81,Interneuron,,
BDUR,82,Interneuron,,
CANL,83,Sensory,,
CANR,84,Sensory,,
CEPDL,85,Sensory,,
CEPDR,86,Sensory,,
CEPVL,87,Sensory,,
CEPVR,88,Sensory,,
DA1,89,Motor,,
DA2,90,Motor,,
DA3,91,Motor,,
DA4,92,Motor,,
DA5,93,Motor,,
DA6,94,Motor,,
DA7,95,Motor,,
DA8,96,Motor,,
DA9,97,Motor,,
DB1,98,Motor,,
DB2,99,Motor,,
DB3,100,Motor,,
DB4,101,Motor,,
DB5,102,Motor,,
DB6,103,Motor,,
DB7,104,Motor,,
DD1,105,Motor,,
DD2,106,Motor,,
DD3,107,Motor,,
DD4,108,Motor,,
DD5,109,Motor,,
DD6,110,Motor,,
DVA,111,Interneuron,,
DVB,112,Motor/Interneuron,,
DVC,113,Interneuron,,
FLPL,114,Sensory,,
FLPR,115,Sensory,,
HSNL,116,Motor,,
HSNR,117,Motor,,
I1L,118,Motor,,
I1R,119,Motor,,
I2L,120,Interneuron,,
I2R,121,Interneuron,,
I3,122,Interneuron,,
I4,123,Interneuron,,
I5,124,Interneuron,,
I6,125,Interneuron,,
IL1DL,126,Interneuron,,
IL1DR,127,Interneuron,,
IL1L,128,All,,
IL1R,129,All,,
IL1VL,130,All,,
IL1VR,131,All,,
IL2DL,132,Sensory,,
IL2DR,133,Sensory,,
IL2L,134,Sensory,,
IL2R,135,Sensory,,
IL2VL,136,Sensory,,
IL2VR,137,Sensory,,
LUAL,138,Interneuron,,
LUAR,139,Interneuron,,
M1,140,Motor,,
M2L,141,Motor,,
M2R,142,Motor,,
M3L,143,Sensory/Motor,,
M3R,144,Sensory/Motor,,
M4,145,Motor,,
M5,146,Motor,,
MCL,147,Motor,,
MCR,148,Motor,,
MI,149,Motor/Interneuron,,
NSML,150,Sensory/Motor,,
NSMR,151,Sensory/Motor,,
OLLL,152,Sensory,,
OLLR,153,Sensory,,
OLQDL,154,Sensory/Interneuron,,
OLQDR,155,Sensory/Interneuron,,
OLQVL,156,Sensory/Interneuron,,
OLQVR,157,Sensory/Interneuron,,
